1,о,R-
2,писмѧ,Nb
3,чрьноризьць,Nb
4,храбъръ,Ne
5,прѣжде,Df
6,оубо,Df
7,словѣне,Nb
8,не,Df
9,имѣти,V-
10,кънигꙑ,Nb
11,нъ,C-
12,чрьта,Nb
13,и,C-
14,рѣза,Nb
15,чисти,V-
16,гадати,V-
17,поганъ,A-
18,бꙑти,V-
19,крьстити,V-
20,же,Df
21,себе,Pk
22,римьскъ,A-
23,грьчьскъ,A-
24,нѫждати,V-
25,словѣньскꙑ,Df
26,рѣчь,Nb
27,без,R-
28,оустроѥниѥ,Nb
29,но,C-
30,како,Du
31,мощи,V-
32,пьсати,V-
33,добрѣ,Df
34,богъ,Nb
35,или,C-
36,животъ,Nb
37,ѕѣло,Df
38,црькꙑ,Nb
39,чаꙗниѥ,Nb
40,широта,Nb
41,ꙗдь,Nb
42,оудъ,Nb
43,юность,Nb
44,ѩзꙑкъ,Nb
45,инъ,A-
46,подобьнъ,A-
47,сь,Pd
48,тако,Df
49,мъногъ,A-
50,лѣто,Nb
51,потомь,Df
52,чловѣколюбьць,Nb
53,строити,V-
54,вьсь,Px
55,оставлꙗти,V-
56,чловѣчь,A-
57,родъ,Nb
58,разоумъ,Nb
59,къ,R-
60,приводити,V-
61,съпасениѥ,Nb
62,помиловати,V-
63,посълати,V-
64,и,Pp
65,свѧтъ,A-
66,константинъ,Ne
67,философъ,Nb
68,нарицати,V-
69,кѵрилъ,Ne
70,мѫжь,Nb
71,правьдьнъ,A-
72,истиньнъ,A-
73,сътворити,V-
74,тридесѧть,Ma
75,осмь,Ma
76,овъ,Pd
77,по,R-
78,чинъ,Nb
79,словѣньскъ,A-
80,отъ,R-
81,прьвъ,Mo
82,начѧти,V-
83,онъ,Pd
84,алфа,Nb
85,а,C-
86,азъ,Nb
87,обои,Ma
88,ꙗкоже,Dq
89,подобити,V-
90,жидовьскъ,A-
91,и,Df
92,съ,R-
93,жидовинъ,Nb
94,бо,Df
95,алефь,F-
96,иже,Pr
97,съказати,V-
98,оучинѥниѥ,Nb
99,съврьшати,V-
100,въводити,V-
101,дѣтищь,Nb
102,глаголати,V-
103,оучити,V-
104,грьци,Nb
105,тъ,Pd
106,рещи,V-
107,съподобити,V-
108,речениѥ,Nb
109,съказаниѥ,Nb
110,да,C-
111,въ,R-
112,оучениѥ,Nb
113,мѣсто,Nb
114,искати,V-
115,ꙗко,G-
116,дати,V-
117,на,R-
118,отъврьстиѥ,Nb
119,оуста,Nb
120,оучѧти,V-
121,боукꙑ,Nb
122,великъ,A-
123,раздвижениѥ,Nb
124,възгласити,V-
125,малъ,A-
126,исповѣдати,V-
127,сице,Df
128,подобати,V-
129,а,Nb
130,б,Nb
131,в,Nb
132,г,Nb
133,дроугъ,A-
134,чьто,Pi
135,мьнии,A-
136,дъва десѧти,Ma
137,четꙑрe,Ma
138,вѣдѣти,V-
139,коликъ,Pi
140,напльнꙗти,V-
141,приложити,V-
142,дъвогласьнъ,A-
143,ѥдинъ на десѧте,Ma
144,чисмѧ,Nb
145,триѥ,Ma
146,шесть,Ma
147,пѧтъ,Ma
148,девѧть,Ma
149,десѧтьнъ,A-
150,девѧтъ,Ma
151,сътьнъ,A-
152,събирати,V-
153,тѣмьже,Df
154,подобьно,Df
155,тъжде,Pd
156,образъ,Nb
157,ни,C-
158,то,Df
159,ангелъ,Nb
160,ижде,Pr
161,коньнъ,A-
162,ꙗко,Df
163,елиньскъ,A-
164,конъ,Nb
165,приѩти,V-
166,мьнѣти,V-
167,мꙑ,Pp
168,окаꙗнъ,A-
169,повелѣти,V-
170,евангелиѥ,Nb
171,дъска,Nb
172,напьсати,V-
173,жидовьскꙑ,Df
174,римьскꙑ,Df
175,елиньскꙑ,Df
176,не бꙑти,V-
177,тоу,Df
178,такъ,Pd
179,безоумиѥ,Nb
180,обаче,Df
181,наоучити,V-
182,рѧдъ,Nb
183,бꙑвати,V-
184,иногдоѭ,Df
185,сѵрьскъ,A-
186,адамъ,Ne
187,до,R-
188,потопъ,Nb
189,доньдеже,G-
190,раздѣлити,V-
191,при,R-
192,стлъпотворѥниѥ,Nb
193,размѣсити,V-
194,нравъ,Nb
195,обꙑчаи,Nb
196,оуставъ,Nb
197,законъ,Nb
198,хꙑтрость,Nb
199,егѵпьтѣнинъ,Nb
200,землѥмѣрениѥ,Nb
201,перси,Nb
202,халдеи,Nb
203,асѵреи,Nb
204,ѕвѣздочьтениѥ,Nb
205,влъшьвениѥ,Nb
206,врачеваниѥ,Nb
207,чарованиѥ,Nb
208,жидъ,Nb
209,небо,Nb
210,землꙗ,Nb
211,чловѣкъ,Nb
212,елинъ,Nb
213,граматикиꙗ,Nb
214,риторикиꙗ,Nb
215,философиꙗ,Nb
216,прѣжде,R-
217,свои,Pt
218,финичьскъ,A-
219,панамидь,Ne
220,послѣжде,Df
221,прити,V-
222,вита,Nb
223,шесть на десѧте,Ma
224,тъкъмо,Df
225,обрѣсти,V-
226,кадьмъ,Ne
227,милисии,Ne
228,девѧть на десѧте,Ma
229,симонидъ,Ne
230,дъва,Ma
231,епихарии,Ne
232,съказатель,Nb
233,събьрати,V-
234,дионисъ,Ne
235,граматикъ,Nb
236,чисменитъ,A-
237,ѥдъва,Df
238,минѫти,V-
239,божии,A-
240,повелѣниѥ,Nb
241,седмь десѧтъ,Ma
242,прѣложити,V-
243,ѥдинъ,Ma
244,седмь,Ma
245,оустроити,V-
246,прѣложениѥ,Nb
247,чьстьнъ,A-
248,аще,G-
249,ли,Df
250,къто,Px
251,понѥже,G-
252,постраꙗти,V-
253,ѥще,Df
254,отъвѣтъ,Nb
255,такожде,Df
256,мъногашьдꙑ,Df
257,акилла,Ne
258,симмахъ,Ne
259,инъ,Px
260,оудобъ,A-
261,потворити,V-
262,неже,Df
263,въпросити,V-
264,кънигъчии,Nb
265,къто,Pi
266,вꙑ,Pp
267,кꙑи,Pi
268,врѣмѧ,Nb
269,рѣдъкъ,A-
270,боукарь,Nb
271,отъвѣщати,V-
272,меѳодии,Ne
273,братръ,Nb
274,михаилъ,Ne
275,цѣсарь,Nb
276,борисъ,Ne
277,кънѧѕь,Nb
278,блъгарьскъ,A-
